Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id
28.0;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Urban,Ration shops;End poverty in all its forms everywhere;1
29.0;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Rural,Ration shops;End poverty in all its forms everywhere;1
30.0;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Total,Ration shops;End poverty in all its forms everywhere;1
31.0;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Urban,Anthyodaya,Bpl Card Holders;End poverty in all its forms everywhere;1
32.0;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Rural,Anthyodaya,Bpl Card Holders;End poverty in all its forms everywhere;1
33.0;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Total,Anthyodaya,Bpl Card Holders;End poverty in all its forms everywhere;1
34.0;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Urban,Akshaya with cylinder,Bpl Card Holders;End poverty in all its forms everywhere;1
35.0;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Rural,Akshaya with cylinder,Bpl Card Holders;End poverty in all its forms everywhere;1
36.0;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Total,Akshaya with cylinder,Bpl Card Holders;End poverty in all its forms everywhere;1
37.0;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Urban,Akshaya without cylinder,Bpl Card Holders;End poverty in all its forms everywhere;1
38.0;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Rural,Akshaya without cylinder,Bpl Card Holders;End poverty in all its forms everywhere;1
39.0;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Total,Akshaya without cylinder,Bpl Card Holders;End poverty in all its forms everywhere;1
40.0;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Urban,With Cylinder,Apl Card Holders;End poverty in all its forms everywhere;1
41.0;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Rural,With Cylinder,Apl Card Holders;End poverty in all its forms everywhere;1
42.0;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Total,With Cylinder,Apl Card Holders;End poverty in all its forms everywhere;1
43.0;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Urban,Without Cylinder,Apl Card Holders;End poverty in all its forms everywhere;1
44.0;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Rural,Without Cylinder,Apl Card Holders;End poverty in all its forms everywhere;1
45.0;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Total,Without Cylinder,Apl Card Holders;End poverty in all its forms everywhere;1
140.0;3;Rainfall;3.1;No.of Rainguage Stations Annual Normal Rainfall and Rain Days Year 2016;Working,Rainguage Stations;End poverty in all its forms everywhere;1
141.0;3;Rainfall;3.1;No.of Rainguage Stations Annual Normal Rainfall and Rain Days Year 2016;Not Working,Rainguage Stations;End poverty in all its forms everywhere;1
717.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-03-2016 in Nos.;Nos.,24 hours and 7 days working Hospitals;End poverty in all its forms everywhere;1
718.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-03-2016 in Nos.;No.of delivaries in this Hospitals,24 hours and 7 days working Hospitals;End poverty in all its forms everywhere;1
876.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2015-16 In Nos;Men,M.g.n.r.e.g.s Mandays Generated in Days;End poverty in all its forms everywhere;1
877.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2015-16 In Nos;Women,M.g.n.r.e.g.s Mandays Generated in Days;End poverty in all its forms everywhere;1
878.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2015-16 In Nos;Total,M.g.n.r.e.g.s Mandays Generated in Days;End poverty in all its forms everywhere;1
889.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2015-16 in Nos.;Provided During the current year,Bore Wells;End poverty in all its forms everywhere;1
890.0;14;Rural Development & Panchayat Raj;14.5;Different Schemes of drinking water supply facilities Year 2015-16 in Nos.;Total,Bore Wells;End poverty in all its forms everywhere;1
