Target_id;Chap_count;Tab_count;Filter_count;Rank_count
2.6;502;541;377;595
11.8;469;553;327;575
10.3;458;494;311;518
1.4;440;495;318;517
3.6;436;458;305;467
15.7;425;519;337;537
3.10;420;456;329;487
12.5;415;442;332;445
4.8;414;445;284;457
4.9;403;473;309;483
4.3;381;445;286;460
16.5;374;382;282;390
5.7;365;423;283;456
11.1;364;382;286;392
4.4;361;506;307;530
2.5;360;491;341;511
15.6;360;404;254;420
16.3;356;395;296;414
4.5;355;394;226;405
2.3;350;391;295;408
5.8;345;353;253;359
13.1;344;426;297;466
9.4;343;409;293;423
10.2;341;375;218;386
15.3;335;380;245;400
3.9;335;403;280;432
16.4;329;380;270;396
11.4;328;434;238;446
3.11;323;343;343;345
14.1;323;438;293;445
15.9;308;435;271;451
12.7;303;320;320;340
14.9;303;329;329;340
14.6;303;332;332;348
6.2;302;368;249;446
9.8;289;324;324;327
14.2;287;362;254;380
2.8;286;301;301;311
11.9;284;328;328;332
14.4;281;293;293;298
6.1;278;350;350;368
2.7;276;286;286;303
14.7;273;320;320;333
8.3;267;355;262;368
7.2;266;306;306;315
4.2;266;297;297;349
8.9;265;309;309;327
8.10;264;290;290;376
14.8;263;293;293;298
1.2;261;353;229;369
5.2;260;358;229;420
17.1;257;447;272;463
8.11;252;264;264;289
4.10;248;301;301;307
1.3;247;269;269;273
11.6;246;267;267;302
14.10;246;297;297;309
8.6;236;298;298;312
15.8;233;239;239;256
14.11;233;268;268;279
10.4;231;276;276;295
4.1;229;340;340;359
12.9;223;249;249;253
5.9;222;270;270;345
2.4;220;375;229;384
6.4;217;265;265;276
15.4;216;279;279;291
14.3;208;283;283;286
5.6;208;227;227;246
12.4;206;251;251;283
16.1;206;237;237;248
9.3;196;202;202;244
5.4;192;254;254;272
3.7;171;175;175;210
4.7;170;196;196;277
13.3;167;191;191;210
5.5;163;242;242;264
1.5;159;199;199;211
16.2;155;230;230;252
12.8;147;209;209;225
4.6;147;240;240;282
10.1;144;189;189;207
11.2;133;152;152;196
6.7;131;149;149;162
7.3;130;169;169;196
11.5;121;191;191;286
9.2;121;174;174;251
5.3;120;149;149;256
7.5;112;152;152;159
12.3;111;131;131;176
9.5;105;255;255;297
12.1;105;173;173;214
12.6;104;185;185;203
7.1;96;269;269;277
3.12;95;98;98;134
6.8;94;165;165;191
9.6;89;109;109;145
3.2;88;112;112;203
8.4;88;178;178;263
9.7;88;110;110;145
11.3;84;114;114;117
6.5;84;193;193;240
2.2;82;114;114;207
17.2;82;152;152;157
7.4;77;121;121;123
13.2;76;80;80;105
8.7;74;134;134;254
11.7;72;141;141;187
3.5;71;98;98;118
8.8;69;131;131;170
2.1;69;92;92;201
8.2;67;133;133;163
3.4;66;120;120;129
9.1;61;103;103;128
8.5;61;87;87;172
3.8;59;129;129;153
1.6;56;111;111;124
14.12;56;86;86;123
1.1;52;58;58;144
3.3;52;88;88;93
5.1;48;105;105;234
14.5;48;215;215;252
15.1;47;105;105;130
12.2;46;192;192;213
3.1;44;95;95;115
6.6;39;58;58;72
15.5;38;138;138;149
11.10;36;81;81;106
6.3;33;41;41;60
15.2;32;102;102;117
8.1;26;65;65;147
