Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;Targets;top_n_goal_id;top_n_target_id
140.0;3;Rainfall;3.1;No.of Rainguage Stations Annual Normal Rainfall and Rain Days Year 2016;Working,Rainguage Stations, No.of Rainguage Stations Annual Normal Rainfall and Rain Days Year 2016, Rainfall;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
141.0;3;Rainfall;3.1;No.of Rainguage Stations Annual Normal Rainfall and Rain Days Year 2016;Not Working,Rainguage Stations, No.of Rainguage Stations Annual Normal Rainfall and Rain Days Year 2016, Rainfall;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
384.0;5;Animal Husbandry;5.4;Fisheries Year 2015-2016;Capacity Tonnes day,Ice Plants, Fisheries Year 2015-2016, Animal Husbandry;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
717.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-03-2016 in Nos.;Nos.,24 hours and 7 days working Hospitals, Different Health Facilities As on 31-03-2016 in Nos., Health & Family welfare Services;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
718.0;11;Health & Family welfare Services;11.6;Different Health Facilities As on 31-03-2016 in Nos.;No.of delivaries in this Hospitals,24 hours and 7 days working Hospitals, Different Health Facilities As on 31-03-2016 in Nos., Health & Family welfare Services;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
876.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2015-16 In Nos;Men,M.g.n.r.e.g.s Mandays Generated in Days, Physical Progress under Mgnregs During Year 2015-16 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
877.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2015-16 In Nos;Women,M.g.n.r.e.g.s Mandays Generated in Days, Physical Progress under Mgnregs During Year 2015-16 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
878.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2015-16 In Nos;Total,M.g.n.r.e.g.s Mandays Generated in Days, Physical Progress under Mgnregs During Year 2015-16 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
882.0;14;Rural Development & Panchayat Raj;14.3;Physical Progress under Mgnregs During Year 2015-16 In Nos;100 No.of Famalies availing 100 days of employment,Mahathma Gandhi National Rural Employment Guarentee Scheme, Physical Progress under Mgnregs During Year 2015-16 In Nos, Rural Development & Panchayat Raj;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
142.0;3;Rainfall;3.1;No.of Rainguage Stations Annual Normal Rainfall and Rain Days Year 2016;Total,Rainguage Stations, No.of Rainguage Stations Annual Normal Rainfall and Rain Days Year 2016, Rainfall;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
28.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Urban,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
29.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Rural,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
30.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Total,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
31.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Urban,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
32.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Rural,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.;1;1.1
