1.0,2.0,464.0,465.0,466.0,467.0,468.0,469.0,502.0,503.0,504.0,505.0,506.0,507.0,508.0,509.0,510.0,529.0,530.0,531.0,532.0,533.0,734.0,735.0,736.0,737.0,738.0,739.0,782.0,783.0,784.0,785.0,786.0,787.0,866.0,867.0,868.0,869.0,870.0,871.0
1,É̈AUÀ1⁄4ÀÆgÀÄ,1,1630,923.83,1054.10,1977.93,3396.30,91757,35562,13336,173584,32592,,,,4731159,271,325,595476,1363223,212889,8,495,1,200,9,695,,,,,,,122.25,0.65,111,1166,3448,3448
2,É̈AUÀ1⁄4ÀÆgÀÄ (UÁ),1,20250,10040.5,194,10234.5,10401.2,1050,535,162,1769,206,,,,49346,142,325,595476,1363223,212889,2,130,,,2,130,,,,,,,1164.85,2.428,70,735,3294,3294
3,gÁaÀÄ£UÀ ÀgÀ,1,51937,20868.05,5598.69,26466.74,12799.31,8367,3216,650,7844,312,,,,239767,181,325,595476,1363223,212889,2,65,,,2,65,3,150,,,3,150,1164.85,10.14,440,4726,4234,4234
4,avÀzÀÄUÀð,1,39024,17273.65,4375.34,21648.99,16972.84,3722,2679,12,5648,294,,,,196114,317,129,25214,222865,10045,8,564,2,157,10,721,6,346,1,54,7,400,1287.18,16.2,503,5282,10490,10490
5,zÁaÀtUÉgÉ,1,75350,24202.58,183.03,24385.61,20357.75,3101,2425,315,11074,256,,,,376319,324,129,25214,222865,10045,8,560,,,8,560,10,565,,,10,565,544.34,16.64,29,305,4573,4573
6,PÉÆÃ ̄ÁgÀ,1,13921,5775.47,7.03,5782.50,36.17,3278,993,12,6753,281,,,,214164,220,137,19854,287721,8619,2,200,,,2,200,2,175,,,2,175,1066.22,19.38,346,3633,3292,3292
7,aPÀÌ§1⁄4Áî¥ÀÄgÀ,1,9732,8939.4,3344.2,12283.6,4145.14,1730,819,9,3840,416,,,,137784,198,137,19854,287721,8619,,,,,,,,,,,,,1066.22,20.16,244,2562,2370,2370
8,2aÀaÉÆUÀÎ,1,64886,31135.21,24691.83,55827.04,70011.56,2584,1408,24,7008,945,,,,400834,355,139,30089,411342,11568,1,65,2,280,3,345,5,270,5,225,10,495,6631.44,34.44,672,7175,11627,11627
9,vÀÄaÀÄPÀÆgÀÄ,1,124458,41077.53,52792.10,93869.63,72181.25,1876,947,2154,13924,586,,,,493523,558,109,20640,215362,9097,13,868,2,50,15,918,8,382,,,8,382,1291.67,15.23,302,3171,27977,27977
10,aPÀÌaÀÄUÀ1⁄4ÀÆgÀÄ,1,13579,45035.20,16147.44,61182.641,52781.58,2056,1201,561,8393,285,,,,199761,301,146,19742,398175,6601,,,,,,,9,628,2,120,11,748,2756.61,25.1,158,1659,7009,7009
11,zÀQtë PÀ£ßÀ qÀ,1,163208,72164.18,109683.4,181847.56,223161.11,12444,7668,34,25758,1722,,,,477515,471,249,139496,800620,54136,,,,,,,,,,,,,2012.18,9.02,713,7826,7753,7753
12,GqÀÄ¦,1,67528,20299.33,36057.91,56357.24,97002.96,4389,2010,10,12947,465,,,,256714,332,249,139496,800620,54136,,,,,,,2,92,,,2,92,1720.57,5.31,37,399,7164,7164
13,oÁ À̧£À,1,126804,49658.44,25054.38,74712.82,70151.86,3870,2169,759,6385,346,,,,279315,415,103,17633,264804,7736,,,,,,,5,160,,,5,160,879.25,8.82,337,3539,14885,14885
14,PÉÆqÀUÀÄ,1,19096,42103.35,25932.25,68035.6,74103.24,2222,1268,,6695,448,,,,76759,216,76,18967,270432,6462,,,,,,,,,,,,,2870.99,1.49,62,609,2583,2583
15,aÀÄAqÀå,1,135455,52800.92,28587.88,81388.8,90234.44,2989,1995,61,6172,436,,,,252808,352,63,9825,143071,4220,3,98,,,3,98,7,690,2,60,9,750,664.61,17.34,404,4242,9839,9839
16,aÉÄÊ À̧ÆgÀÄ,1,33953,27932.49,5145.62,33078.11,36190.22,5734,2471,15,13848,357,,,,768704,387,141,62534,325012,26435,4,200,,,4,200,4,460,1,100,5,560,1449.87,4.715,,,19379,19379
17,ZÁaÀÄgÁd£UÀ ÀgÀ,1,21385,11663.67,1983.26,13646.93,6337.33,813,498,16,2457,480,,,,114198,205,141,62534,325012,26435,3,304,,,3,304,4,175,2,100,6,275,2791.46,0.336,,525,5440,5440
18,É̈1⁄4ÀUÁ«,1,404645,132110.75,98982.29,231093.04,238730.63,4108,2014,24,13940,420,,,,832141,733,190,54499,320311,19068,4,266,1,100,5,366,4,170,1,36,5,206,2063.2,47.86,,781,16407,16407
19,«dAiÀi¥ÀÄgÀÀ,1,215444,95766.72,71267.68,167034.40,144697.60,2873,1809,17,3940,310,,,,265799,405,183,27143,307157,11972,15,626,,,15,626,29,1378,,,29,1378,81.11,2.32,,1317,5209,5209
