1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57
1;É̈AUÀ1⁄4ÀÆgÀÄ;20;209;20;96;4;16;562;26;588;1*;1;5;Null;Null;7;;;164;1;4242;128;21;53;2593;378.78;1256;242;1498;16606;2864;19470;531744;169607;701351;876;Null;876;335852;13171;349023;Null;Null;Null;885078;185642;1070720;885078;185642;1070720;31365570;28044249;25943395;23028237;280391;230240
2;É̈AUÀ1⁄4ÀÆgÀÄ (UÁ);17;195;17;105;4;7;957;94;1051;Null;2;3;Null;Null;5;279;2;18;2;12;Null;4;6;375;6.94;67;317;384;1169;5514;6683;40752;159639;200391;Null;Null;Null;5120;7809;12929;Null;Null;Null;47041;172962;220003;47041;172962;220003;1456454;1301632;1189381;1055162;126361;102434
3;gÁaÀÄ£ÀUÀgÀ;18;244;18;127;4;6;820;52;872;Null;3;2;Null;Null;5;;;24;1;198;Null;4;7;261;25.40;123;444;567;1721;10203;11924;53367;129380;182747;Null;76947;76947;4753;2507;7260;Null;3397;3397;59841;222434;282275;59841;222434;282275;1493212;1345608;1202999;1075893;119564;95599
4;avzÀ ÀÄUÀð;22;312;22;189;6;8;948;115;1063;Null;3;1;3;Null;7;19;1;23;1;155;2;6;12;858;11.40;65;527;592;2921;23341;26262;53859;144703;198562;Null;113883;113883;923;18798;19721;Null;33;33;57703;300758;358461;57703;300758;358461;1541526;1403026;1227454;1108636;81333;64267
5;zÁatÀ UÉgÉ;24;268;24;233;6;8;800;123;923;1;1;3;2;Null;7;23;Null;27;2;187;187;6;14;874;16.49;193;615;808;6463;28174;34637;23;30631;30654;92890;215590;308480;13015;11566;24581;11;123;134;112402;286084;398486;112402;286084;398486;1846858;1685096;1498547;1357552;83322;67126
6;PÉÆÃ ̄ÁgÀ;27;266;27;156;5;7;1608;189;1797;Null;3;3;Null;Null;6;;;23;2;180;2;6;14;399;18.95;168;468;636;2743;16528;19271;59146;134036;193182;Null;70246;70246;20716;5754;26470;3;614;617;82608;227178;309786;82608;227178;309786;1653387;1496015;1355503;1217208;93669;76212
7;aPÀÌ§1⁄4Á¥î ÀÄgÀ;26;247;26;157;6;8;1324;189;1513;Null;3;2;1;Null;6;29;1;;;;;6;12;341;7.59;101;462;563;1141;13820;14961;41348;109114;150462;5;105184;105189;6389;4119;10508;1;748;749;48884;232985;281869;48884;232985;281869;1278603;1163826;1043990;943539;89202;72318
8;2aaÀ ÉÆUÀÎ;37;370;37;271;7;9;1444;86;1530;1;2;1;5;Null;9;;;19;2;143;Null;7;13;988;16.15;174;424;598;4308;11056;15364;88253;184066;272319;2;14;16;41474;51245;92719;Null;Null;Null;134037;246381;380418;134037;246381;380418;2638007;2410858;2118831;1924221;132317;105609
9;vÄÀ aÄÀ PÀÆgÀÄ;50;560;50;331;10;12;2582;133;2715;1;2;4;3;Null;10;21;Null;32;2;271;3;10;22;1197;29.34;220;899;1119;2112;27058;29170;89271;262106;351377;26;177201;177227;20792;25337;46129;124;667;791;112325;492369;604694;112325;492369;604694;3513603;3177062;2879840;2587680;114083;92919
10;aPÀÌaÀÄUÀ1⁄4ÆÀ gÀÄ;34;238;34;227;7;9;1022;95;1117;Null;1;3;4;1;9;24;Null;41;4;267;92;7;8;577;7.95;79;455;534;1476;11343;12819;22256;44134;66390;17495;125613;143108;16626;26993;43619;Null;7286;7286;57853;215369;273222;57853;215369;273222;2072575;1883673;1708356;1545320;159237;130634
11;zQÀ të PÀ£ßÀ qÀ;17;286;17;230;5;41;331;Null;331;1;2;2;5;Null;10;12;1;29;4;208;Null;7;15;1263;22.00;85;409;494;3130;20136;23266;35333;91340;126673;Null;60528;60528;74991;96697;171688;Null;4262;4262;113454;272963;386417;113454;272963;386417;5277737;4728324;4460345;3971483;217670;182829
12;GqÀÄ¦;9;187;9;158;3;20;233;Null;233;Null;1;3;1;Null;5;31;Null;38;3;289;2;4;7;1178;13.43;52;244;296;3031;25747;28778;22885;68253;91138;Null;37289;37289;36201;51319;87520;Null;2883;2883;62117;185491;247608;62117;185491;247608;2435359;2204763;2036341;1831598;180143;149653
13;oÁ À̧£À;38;404;38;267;8;11;2418;156;2574;Null;2;4;2;Null;8;11;Null;23;3;158;Null;7;13;707;16.75;138;756;894;1484;10046;11530;60078;181442;241520;Null;165073;165073;19246;14647;33893;Null;3857;3857;80808;375065;455873;80808;375065;455873;2155022;1976953;1776950;1621788;107057;87824
