1;2;140;141;142;143;144;147;148;149;150;151;152;153
1;BENGALURU;22;2;24;51;848;971;746;884;954;533;821;821
2;BENGALURU(R);19;4;23;45;751;879;679;782;721;487;744;831
3;RAMANAGARA;24;3;27;43;822;750;870;798;745;447;698;749
4;CHITRADURGA;33;5;38;40;507;645;813;891;363;528;548;768
5;DAVANAGERE;36;5;41;56;637;680;955;969;535;542;701;901
6;KOLAR;30;5;35;35;622;811;778;802;643;760;579;494
7;CHIKKABALLAPURA;31;4;35;92;677;870;694;934;674;602;578;424
8;SHIVAMOGGA;88;5;93;99;2682;2638;2972;2754;2869;2359;3059;2994
9;TUMAKURU;66;2;68;36;589;779;673;841;549;473;584;690
10;CHIKKAMAGALURU;46;4;50;92;2075;1982;2270;1998;1772;1542;2128;1977
11;DAKSHINA KANNADA;33;10;43;127;3524;3599;4226;4471;4293;3392;4223;3724
12;UDUPI;26;2;28;129;4285;4004;5480;5084;5113;4265;4815;4009
13;HASSAN;59;1;60;78;1147;1644;1639;1676;1516;1141;1499;1500
14;KODAGU;33;13;46;106;2693;2413;1912;2647;3077;2001;3429;3016
15;MANDYA;32;0;32;36;655;710;705;864;664;446;569;781
16;MYSURU;40;9;49;53;739;700;750;873;782;491;681;835
17;CHAMARAJANAGAR;27;4;31;36;735;819;704;867;698;438;536;867
18;BELAGAVI;90;7;97;52;844;1072;1248;1190;1153;734;825;1125
19;VIJAYAPURA;33;6;39;39;632;473;903;588;356;440;564;882
20;BAGALKOT;28;3;31;36;588;505;940;633;516;372;528;636
21;DHARAWAD;19;6;25;60;787;707;937;873;744;526;662;980
22;GADAG;15;3;18;35;631;602;822;696;397;403;518;698
23;HAVERI;33;4;37;65;782;780;1016;1016;772;550;764;1094
24;UTTARA KANNADA;86;7;93;106;2887;2721;3127;2879;3237;2528;3237;2999
25;BALLARI;38;7;45;34;606;520;828;672;380;418;482;567
26;BIDAR;36;4;40;57;886;879;689;1040;719;727;970;607
27;KALABURAGI;45;7;52;52;842;713;781;881;593;594;776;702
28;YADGIRI;20;0;20;48;832;607;893;830;545;545;747;531
29;RAICHUR;40;7;47;36;658;493;828;653;358;353;639;547
30;KOPPAL;30;1;31;37;587;553;921;751;417;392;560;725
