1;2;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350
1;É̈AUÀ1⁄4ÀÆgÀÄ;217410;5055;124791;4911;129702;3889;5674;7648;17211;21564;6730;28294;37148;4059;41207;Null;Null;Null;833;210;164;43;Null;Null;15555;11044;9348;Null;Null;Null;Null;Null;11254;9512;782;Null;Null;1129;19721;Null;2;21634;463;704;7;14;1117;325;9;Null;2639;24273;2732;4536;72;8;Null;113;18;96;Null;6;191;504;Null;3;4;3376;851;Null;2879;62023;Null;24;69153;1394;323;5;3;1769;84;21;Null;3599;72752;71;2;Null;31;7;Null;Null;24;162;Null;182;Null;10768;456;Null;15;Null;Null;7123;9721;623;Null;5633;8676;2825;187;8736;4898;32364;3182;5490;614;1457;1386;5505;11088;3660;1539;Null;3280;2727;Null;526;2750;701;565;308;195;1936;433;713;Null;966;2520;890;526;Null;645;Null;Null;563;274;466;Null;96;Null;1986;Null;762;Null;Null;13519;7415;2376;23310;19.49;Null;Null;65.19;4.45;Null;Null;Null;4.75;Null;Null;3.02;8.25;Null;Null;105.15;905.25;1033.424;212;85;17;1120;1222;3814.888;3;1;15;301;317;66;Null;980;1046;Null;Null
2;É̈AUÀ1⁄4ÀÆgÀÄ (UÁ);229519;11322;45468;11124;56592;3898;3879;13429;21206;15711;12474;28185;112214;4737;116951;Null;Null;Null;1031;Null;Null;6017;831;741;35022;22868;20281;1;35;35;Null;Null;23734;21057;736;Null;7;14867;38884;Null;70;54564;1416;1730;10;3;1702;660;87;3;5611;60175;12628;8817;175;3;Null;106;14;116;3;Null;239;656;2;60;Null;2354;Null;Null;42583;80284;Null;11;125232;1736;1001;1;1;2445;975;188;216;6563;131795;206;10;Null;143;4;Null;Null;56;479;Null;Null;Null;18964;2987;Null;8;4;Null;31256;66118;1467;Null;13799;35855;8819;378;6142;21782;63154;2708;12407;753;3252;3036;5341;12614;3824;Null;Null;3079;2350;Null;643;2575;1176;628;308;195;1594;1655;733;890;1153;2426;730;526;Null;645;Null;Null;563;274;469;Null;Null;Null;1986;Null;762;163;Null;9819;7757;1683;19259;22.86;Null;Null;157.08;134.73;Null;18.94;Null;8.45;Null;Null;3.59;10.65;Null;Null;356.3;6583.88;4137.559;522;232;379;5831;6442;16225.449;1;150;532;1639;2321;216;366;2847;3429;Null;7
3;gÁaÀÄ£ÀUÀgÀ;355912;69946;27671;24339;52010;1178;24662;3950;29790;18230;25478;43708;160458;11639;172097;178;8918;7895;808;1843;1688;12323;Null;Null;39632;24322;23868;4;454;425;Null;Null;35537;33876;4468;Null;9;1987;70366;Null;7;76837;3557;9084;1;1;5790;2909;18;Null;21360;98197;28756;3781;3307;8;Null;915;3430;605;Null;Null;366;8631;1;751;Null;12128;Null;3;10450;136422;Null;5;159008;1627;4654;6;1;9273;1292;12;Null;16865;175873;4830;1;Null;885;521;Null;Null;95;6414;2;67320;Null;117842;2855;Null;83;Null;7;99530;228010;354;Null;1281;170;9174;925;18885;Null;27250;6450;3948;99;3200;3267;2354;10071;2444;Null;1011;4029;2063;Null;752;2158;694;657;308;195;1712;1173;702;Null;1055;1961;1378;404;Null;931;Null;Null;400;165;960;409;69;Null;1986;88;762;163;0.64;5090;1593;789;7472;1250.28;Null;Null;1927.81;260.15;Null;Null;Null;110.10;Null;Null;36.15;217.80;Null;Null;3802.29;16725.90;14547.721;746;1702;111;25133;26946;56147.485;7;317;71;2100;2488;1372;78;19636;21086;48;Null
4;avÀzÀÄUÀð;770702;73719;55450;25403;80853;21612;88740;11317;121669;83341;22335;105676;388785;81134;469919;142;2131;1820;368;Null;Null;12031;Null;Null;71786;105311;92506;107;Null;Null;Null;Null;107442;94326;1297;12719;1798;92194;48082;372;6449;162911;9587;4687;Null;5410;1895;729;39857;Null;62165;225076;22990;25755;96711;20573;2061;768;2100;19;Null;Null;9;122241;16756;2;215;4566;13301;1085;271975;93320;375;4227;388849;5485;3112;Null;432;1935;333;21809;Null;33106;421955;68575;5750;938;569;2415;Null;Null;8;78257;44803;Null;Null;355190;35357;Null;362;1;1;125070;33313;8391;Null;278;Null;13466;145925;65365;Null;37625;8104;1999;216;374587;23686;1850;6113;2373;984;673;3117;1718;1484;554;2335;661;445;Null;101;954;409;714;Null;625;1923;597;404;524;922;Null;Null;760;274;581;1650;Null;Null;2070;Null;762;163;1.00;20375;11971;3538;35884;989.00;119.00;263.00;3788.00;5004.00;66.00;7109.00;Null;1456.00;Null;37.00;15.00;32035.00;348.00;Null;51229;1531.25;588.890;258;142;232;1386;1760;2497.401;Null;55;228;754;1037;61;182;1474;1717;Null;Null
5;zÁaÀtUÉgÉ;597597;89918;39792;20533;60325;8525;19538;4955;33018;25115;5140;30255;384081;41705;425786;203;96330;84789;413;1534;1534;3534;860;860;44765;98988;78364;1562;10206;6610;2231;1854;210149;174011;98259;10879;720;173400;15594;148;353;299353;8373;810;406;203;622;1092;1177;Null;12683;312036;11695;17099;15279;3381;10;41;44;114;1;Null;163;19033;15688;5786;688;489505;23072;794;593544;18774;661;403;1126753;8118;1035;19;106;2751;471;1879;Null;14379;1141132;16592;4524;1;124;26;Null;Null;49;21327;22527;1221325;264;141203;56979;Null;189;6;597;76871;35279;2748;Null;224;Null;8772;5224;8293;Null;98798;4491;2746;918;94354;17811;48;11822;3770;2167;1339;3431;1640;1860;352;3445;1588;850;333;322;2740;369;746;Null;1249;3371;1007;996;881;645;Null;Null;731;274;994;1145;135;735;1781;88;762;163;0.73;54418;33858;11368;99644;732.25;Null;134.15;808.13;6124.60;11.62;780.80;Null;510.93;Null;174.60;56.55;49693.50;623.10;Null;59650.23;376.50;172.540;136;49;43;432;524;760.586;1;1;8;217;226;6;2;118;126;Null;1
6;PÉÆÃ ̄ÁgÀ;374966;20620;45677;28870;74547;6397;39418;7009;52824;51638;12549;64187;162788;8382;171170;Null;Null;Null;2980;Null;Null;27875;Null;Null;84287;25022;20140;Null;Null;Null;Null;Null;25022;20140;395;Null;Null;640;58368;Null;60;59463;2637;9481;Null;Null;6373;1134;Null;Null;19625;79088;59887;30561;8608;Null;Null;55;258;88;Null;Null;177;9186;Null;106;Null;864;Null;Null;1759;66420;Null;46;69089;3535;6319;Null;Null;7277;790;5;Null;17926;87015;5810;Null;Null;35;102;Null;Null;19;5994;Null;Null;Null;21570;Null;Null;Null;102;Null;121987;421192;1562;Null;8588;4016;52320;689;28392;86726;338021;32787;34760;682;8191;28875;30952;14692;2644;Null;Null;3500;1332;Null;692;1361;799;659;Null;Null;1497;883;703;Null;906;1234;465;Null;Null;645;Null;Null;563;274;463;Null;Null;Null;Null;Null;Null;147;Null;11237;7842;3111;22190;1286.50;Null;Null;3523.15;51.50;Null;Null;Null;175.86;Null;Null;94.82;3015.50;Null;Null;8147.33;18790.09;10950.997;1602;1697;913;16099;18709;43220.978;4;401;772;2586;3759;1570;693;13511;15774;72;11
7;aPÀÌ§1⁄4Á¥î ÀÄgÀ;404501;49704;32743;34302;67045;4743;55550;6482;66775;13333;13148;26481;194496;22400;216896;Null;Null;Null;1981;Null;Null;733;Null;Null;28995;58451;50370;21;Null;Null;Null;Null;58451;50370;1333;Null;82;59377;46946;Null;221;107959;7682;3150;Null;Null;4922;1052;122;Null;16928;124887;24501;13894;19535;78;Null;84;Null;54;Null;Null;529;20280;107;101;Null;2698;Null;Null;105491;57499;Null;35;165723;1740;1006;Null;Null;2539;910;44;Null;6239;171962;7132;102;Null;45;Null;Null;Null;2;7341;248;5290;Null;17544;275;Null;Null;777;Null;35530;128970;2665;Null;14387;87820;21696;5396;20096;45366;180032;7115;11079;136;23580;9808;6156;19918;3489;Null;Null;1682;1287;Null;526;1531;536;539;Null;Null;595;939;703;Null;599;1449;411;1413;Null;645;Null;Null;Null;274;415;663;96;Null;1986;Null;Null;326;Null;14398;10512;3447;28357;1256.00;Null;Null;1722.15;3538.15;Null;Null;Null;385.54;Null;Null;70.82;6536.90;Null;Null;13509.56;17732.67;12247.060;1147;1236;1417;13870;16523;47706.411;4;1317;1852;2987;6156;1202;1294;8053;10549;1;2
8;2aÀaÉÆUÀÎ;847784;276855;88708;13312;102020;16311;163463;26868;206642;9626;29370;38996;223271;27709;250980;378;50465;42502;5977;53747;50951;7673;6942;6400;20980;42976;32347;4152;4525;3848;5156;4519;163811;140567;109617;177;Null;43827;655;Null;Null;154276;292;83;40;1834;41;667;9;24;2990;157266;11383;398;438;653;Null;4;2;14;Null;1;184;1296;538;6121;1;384974;756;2;226532;1067;Null;Null;613331;171;24;36;277;33;105;7;14;667;613998;248;1882;9;1;5;Null;Null;1;2146;2178;393015;4;45586;99431;27;15593;83;305;138125;53065;339;84660;340;Null;9536;90;2175;Null;2838;840;160;Null;32;1992;440;238;3322;2242;957;3830;1953;Null;Null;3487;701;505;457;317;827;400;670;343;418;3459;761;2353;881;645;345;Null;563;274;1862;457;105;735;1943;68;1255;73;0.60;27793;17431;11385;56609;15530.94;Null;1.50;102.75;3814.02;Null;Null;Null;108.95;Null;62.40;44.90;30.00;Null;Null;19695.46;214.37;83.459;169;48;2;290;340;335.619;1;17;1;79;97;12;Null;250;262;Null;Null
9;vÀÄaÀÄPÀÆgÀÄ;1064755;45177;89943;67539;157482;62642;76453;21033;160128;192477;23731;216208;485760;72378;558138;87;4099;4099;2232;8998;8998;39556;901;901;121245;163220;144708;9;Null;Null;Null;Null;177218;158706;10379;37;283;24207;156132;Null;3302;194340;9824;16147;523;9604;5403;2513;1536;Null;45550;239890;25172;6397;64771;505;Null;2086;247;520;Null;55;173;68357;1534;324;45;26042;2652;290;66868;334611;Null;1099;431562;2442;8836;51;573;4386;1449;1264;Null;19001;450563;39626;845;Null;1692;27;10;Null;101;42331;4491;174515;27;1239906;66355;Null;234;13;Null;91287;167914;3145;Null;2628;1182;10587;35401;20783;926;114798;13248;1501;Null;19520;19535;674;4382;2884;1346;906;2496;1982;Null;418;2059;256;451;308;70;536;566;703;Null;380;1736;466;603;Null;599;345;Null;105;170;469;2697;110;735;2045;Null;762;163;Null;21285;12325;4538;38148;6116.37;Null;Null;2458.35;1639.85;2.10;106.94;Null;889.48;Null;201.29;151.19;31094.20;30.00;Null;42689.77;4002.89;3364.7;1124;471;338;7831;8640;12232.788;7;230;606;1993;2829;233;193;8361;8787;1;3
