Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description
351;5;Animal Husbandry;5.1;Livestock Census 2012 In Nos;Indigenious,Cattle,Livestock Census 2012
352;5;Animal Husbandry;5.1;Livestock Census 2012 In Nos;Exotic,Cattle,Livestock Census 2012
353;5;Animal Husbandry;5.1;Livestock Census 2012 In Nos;Cross Breed,Cattle,Livestock Census 2012
354;5;Animal Husbandry;5.1;Livestock Census 2012 In Nos;Total,Cattle,Livestock Census 2012
355;5;Animal Husbandry;5.1;Livestock Census 2012 In Nos;Buffaloes,Livestock Census 2012
356;5;Animal Husbandry;5.1;Livestock Census 2012 In Nos;Indigenious,Sheeps,Livestock Census 2012
357;5;Animal Husbandry;5.1;Livestock Census 2012 In Nos;Exotic,Sheeps,Livestock Census 2012
358;5;Animal Husbandry;5.1;Livestock Census 2012 In Nos;Cross Breed,Sheeps,Livestock Census 2012
359;5;Animal Husbandry;5.1;Livestock Census 2012 In Nos;Total,Sheeps,Livestock Census 2012
360;5;Animal Husbandry;5.1;Livestock Census 2012;Goats,Livestock Census 2012
361;5;Animal Husbandry;5.1;Livestock Census 2012;Indigenious,Pigs,Livestock Census 2012
362;5;Animal Husbandry;5.1;Livestock Census 2012;Exotic,Pigs,Livestock Census 2012
363;5;Animal Husbandry;5.1;Livestock Census 2012;Cross Breed,Pigs,Livestock Census 2012
364;5;Animal Husbandry;5.1;Livestock Census 2012;Total,Pigs,Livestock Census 2012
365;5;Animal Husbandry;5.1;Livestock Census 2012;Rabbits,Livestock Census 2012
366;5;Animal Husbandry;5.1;Livestock Census 2012;Dogs,Livestock Census 2012
367;5;Animal Husbandry;5.1;Livestock Census 2012;Others,Livestock Census 2012
368;5;Animal Husbandry;5.1;Livestock Census 2012;Total Live Stock,Livestock Census 2012
369;5;Animal Husbandry;5.1;Livestock Census 2012;Poultry,Livestock Census 2012
370;5;Animal Husbandry;5.2;Veterinary Hospitals on In Nos.;Veterinary Hospitals Kvs/rl,Veterinary Institutions
371;5;Animal Husbandry;5.2;Veterinary Hospitals on In Nos.;Dispensaries,Veterinary Institutions
372;5;Animal Husbandry;5.2;Veterinary Hospitals on In Nos.;Primary Veterinary Centres,Veterinary Institutions
373;5;Animal Husbandry;5.2;Veterinary Hospitals on In Nos.;Mobile Dispensaries,Veterinary Institutions
374;5;Animal Husbandry;5.2;Veterinary Hospitals on In Nos.;Artificial Insemination Centres,Veterinary Institutions
375;5;Animal Husbandry;5.2;Veterinary Hospitals on In Nos.;Others,Veterinary Institutions
376;5;Animal Husbandry;5.2;Veterinary Hospitals on In Nos.;Total,Veterinary Institutions
377;5;Animal Husbandry;5.3;Artificial Insemination and Dairy Production Year 2016-17;Artificial Insemination Done Numbers
378;5;Animal Husbandry;5.3;Artificial Insemination and Dairy Production Year 2016-17;No.of animals treated
379;5;Animal Husbandry;5.3;Artificial Insemination and Dairy Production Year 2016-17;Production of Milk in Thousand Tonnes
380;5;Animal Husbandry;5.3;Artificial Insemination and Dairy Production Year 2016-17;Production of Eggs. in Lakhs Nos
381;5;Animal Husbandry;5.3;Artificial Insemination and Dairy Production Year 2016-17;Meat Production in Tonnes
382;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Fish catch in tonnes
383;5;Animal Husbandry;5.4;Fisheries Year 2016-17;No.,Ice Plants
384;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Capacity Tonnes day,Ice Plants
385;5;Animal Husbandry;5.4;Fisheries Year 2016-17;No.,Cold storages
386;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Capacity Tonnes,Cold storages
387;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Panchayat Raj,Total tanks for fisheries
388;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Minor Irrigation,Total tanks for fisheries
389;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Full Time,Families involved in fisheries
390;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Part Time,Families involved in fisheries
391;5;Animal Husbandry;5.4;Fisheries Year 2016-17;No.of Beneficiaries under Mathsasraya scheme
392;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Fish lets In lakhs
393;5;Animal Husbandry;5.4;Fisheries Year 2016-17;Fish markets No
