Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id
28.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Urban,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
29.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Rural,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
30.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Total,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
31.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Urban,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
32.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Rural,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
33.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Total,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
34.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Urban,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
35.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Rural,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
36.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Total,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
37.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Urban,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1
