1;2;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317
1;Bengaluru(U);2196;4381;213207;2180638;2393845;17.92;1;3411896;9621551.0;5022661;4598890;15.75;1;14271577;7446494;6825083;19.83;1;464256;407351;871607;4558405;4191539;8749944;9621551;47.18;12.16;51.91;908;913;907;916;877;920;0.88;1052837;100793;952044;1450842;100085;1350757;10.94;11.56;10.88;10.17;8.62;10.30;943;953;941;944;953;943;0.11;101739;98131;199870;505986;492529;998515;1198385;40.81;3.25;51.87;13.02;24.91;11.41;12.46;22.93;11.41;14940;13475;28415;84224;77600;161824;190239;121.16;57.21;138.18;1.32;2.33;1.18;1.98;3.26;1.85;1135333;1071590;2206923;1684031;1589481;3273513;3514649;3165286;6679935;5213251;4695047;9908299;372679;362014;734693;552792;536973;1089765;9621551;14271577;9621551;10005324;10405182;10821807;11255912.0;11708245.0;12179575;12670713;13182500;13715816.0;14271577.0;4051032;3674038;7725070;80.29;648328;599966;1248294;12.97;250360;254503;504863;5.25;7436;5818;13254;0.14;3007;2524;5531;0.06;42383;40707;83090;0.86;261;237;498;19854;21097;40951;0.43;5022661;4598890;9621551;269695;92684;362379;2624258;871705;3495963;2893953;964389;3858342;90.85;27565;21463;49028;193843;145714;339557;221408;167177;388585;9.15;166996;293204;460200;1740304;3174120;4914424;1907300;3467324;5374624;55.86;46286;14149;60435;20955;14229;35184;67241;28378;95619;2.25;27088;19630;46718;35461;15735;51196;62549;35365;97914;2.31;7267;4057;11324;66244;31330;97574;73511;35387;108898;2.56;216619;76311;292930;2695441;956125;3651566;2912060;1032436;3944496;92.88;297260;114147;411407;2818101;1017419;3835520;3115361;1131566;4246927;44.14;223886;80368;304254;2761685;987455;3749140;2985571;1067823;4053394;95.44
2;Bengaluru(R);2298;431;164814;64465;229279;1.72;27;266308;990923;509172;481751;1.62;29;1167401;607048;560353;1.62;25;371369;350810;722179;137803;130941;268744;990923;16.45;9.65;39.73;975;949;933;946;945;950;-2.97;107062;77405;29657;108175;72482;35693;10.80;10.72;11.04;9.27;9.15;9.50;939;944;925;950;947;956;1.17;91184;90317;181501;16240;15959;32199;213700;14.52;10.95;39.87;21.93;24.84;11.97;21.57;25.13;11.98;22809;21603;44412;4338;4153;8491;52903;21.14;14.79;70.50;5.13;5.87;2.59;5.34;6.15;3.16;123381;116424;239805;146871;135574;282445;335346;313682;649028;397955;367343;765298;50445;51645;102090;62222;57436;119658;990923;1167401;990923;1006750;1022949;1039532;1056512.0;1073899.0;1091707;1109948;1128635;1147781.0;1167401.0;457394;433035;890429;89.86;47681;44571;92252;9.31;2556;2812;5368;0.54;219;170;389;0.04;137;135;272;0.03;546;499;1045;0.11;51;34;85;588;495;1083;0.11;509172;481751;990923;206882;85652;292534;75534;21921;97455;282416;107573;389989;84.80;25686;32401;58087;7397;4418;11815;33083;36819;69902;15.20;138801;232757;371558;54872;104602;159474;193673;337359;531032;53.59;89242;34206;123448;3529;793;4322;92771;34999;127770;27.78;37791;42475;80266;2227;1615;3842;40018;44090;84108;18.29;6074;4654;10728;6037;2692;8729;12111;7346;19457;4.23;99461;36718;136179;71138;21239;92377;170599;57957;228556;49.70;232568;118053;350621;82931;26339;109270;315499;144392;459891;46.41;105535;41372;146907;77175;23931;101106;182710;65303;248013;53.93
3;Ramanagara;3516;308;199673;60860;260533;1.95;24;273513;1082636.0;548008;534628;1.77;26;1147733;577014;570719;1.60;27;412438;402439;814877;135570;132189;267759;1082636;5.05;-0.07;24.50;964;969;945;976;976;975;1.24;107841;77329;30512;99799;65689;34110;9.96;9.49;11.40;8.70;8.07;10.23;945;947;938;962;961;964;1.80;83140;81648;164788;19472;19559;39031;203819;6.67;2.96;25.81;18.83;20.22;14.58;18.83;20.22;14.58;9693;9470;19163;1926;1857;3783;22946;28.30;22.50;68.73;2.12;2.35;1.41;2.12;2.35;1.41;128653;121393;250046;324503;308878;633380;354711;343748;698459;641302;638039;1279341;64644;69487;134131;498733;495750;994483;1082636;2907204;1082636;1088513;1094522;1100666;1106949.0;1113375.0;1119943;1126660;1133529;1140552.0;1147733.0;485046;474214;959260;88.60;58341;55970;114311;10.56;3200;3190;6390;0.59;226;157;383;0.04;46;58;104;0.01;461;398;859;0.08;22;35;57;666;606;1272;0.12;548008;534628;1082636;241705;122524;364229;70913;23699;94612;312618;146223;458841;86.34;24385;36460;60845;7346;4427;11773;31731;40887;72618;13.66;146348;243455;389803;57311;104063;161374;203659;347518;551177;50.91;136933;67646;204579;2859;692;3551;139792;68338;208130;39.16;45609;54030;99639;1778;1043;2821;47387;55073;102460;19.28;4443;4391;8834;5020;3869;8889;9463;8260;17723;3.33;79105;32917;112022;68602;22522;91124;147707;55439;203146;38.22;266090;158984;425074;78259;28126;106385;344349;187110;531459;49.09;83548;37308;120856;73622;26391;100013;157170;63699;220869;41.56
4;Chitradurga;8436;197;283669;73334;357003;2.67;15;387454;1659456.0;840843;818613;2.72;16;1818420;912745;905675;2.53;16;675573;654350;1329923;165270;164263;329533;1659456;9.33;6.94;20.16;955;957;948;974;969;994;1.99;184280;149294;34986;170793;134166;36627;11.10;11.23;10.62;9.39;9.43;9.25;946;947;944;947;947;948;0.11;169160;164411;333571;27659;27887;55546;389117;15.64;13.33;31.78;22.17;23.67;15.37;23.45;25.08;16.86;135209;131317;266526;17730;18298;36028;302554;13.64;12.88;19.60;17.54;18.99;10.98;18.23;20.04;10.93;217200;205188;422388;238382;225199;463581;540011;527459;1067470;593029;579245;1172274;83632;85966;169598;90026;92539;182565;1659456;1818420;1659456;1674525;1689773;1705200;1720808.0;1736599.0;1752577;1768746;1785108;1801665.0;1818420.0;770751;749802;1520553;91.63;65034;63717;128751;7.76;1492;1683;3175;0.19;173;149;322;0.02;42;42;84;0.01;1957;1821;3778;0.23;72;56;128;1322;1343;2665;0.16;840843;818613;1659456;360218;199966;560184;83806;23489;107295;444024;223455;667479;77.92;60385;112673;173058;8902;7148;16050;69287;119821;189108;22.08;254970;341711;596681;72562;133626;206188;327532;475337;802869;48.38;195965;86611;282576;3013;656;3669;198978;87267;286245;33.42;122698;167494;290192;2333;1812;4145;125031;169306;294337;34.36;9513;9608;19121;4589;2525;7114;14102;12133;26235;3.06;92427;48926;141353;82773;25644;108417;175200;74570;249770;29.16;420603;312639;733242;92708;30637;123345;513311;343276;856587;51.62;101940;58534;160474;87362;28169;115531;189302;86703;276005;32.22
5;Davanagere;4489;366;225874;125741;351615;2.63;16;372043;1643494.0;832111;811383;2.69;17;1794310;909078;885232;2.49;17;533193;519042;1052235;298918;292341;591259;1643494;8.63;5.49;15.84;952;957;939;972;970;977;2.10;178177;114332;63845;198212;128049;70163;10.84;10.87;10.80;11.05;11.43;10.40;946;950;934;948;946;952;0.21;124291;122137;246428;36115;35762;71877;318305;17.82;14.66;32.89;19.37;23.21;12.35;19.37;23.42;12.16;74786;73551;148337;17305;17162;34467;182804;11.16;9.09;21.90;11.12;13.97;5.92;11.12;14.10;5.83;256213;242975;499188;232762;223203;455965;642913;621092;1264005;591281;580920;1172201;77982;76042;154024;84966;81177;166144;1917217;1794310;1643494;1657822;1672312;1686964;1701784.0;1716771.0;1731928;1747255;1762765;1778447.0;1794310.0;702405;684402;1386807;84.38;120288;117459;237747;14.47;2612;2652;5264;0.32;160;117;277;0.02;67;75;142;0.01;2985;2884;5869;0.36;780;777;1557;2814;3017;5831;0.44;832111;811383;1643494;286124;117265;403389;139414;37048;176462;425538;154313;579851;80.36;44689;59473;104162;24861;12732;37593;69550;72205;141755;19.64;207056;346916;553972;129967;237949;367916;337023;584865;921888;56.09;145502;34971;180473;4334;644;4978;149836;35615;185451;25.70;113215;107544;220759;5666;3779;9445;118881;111323;230204;31.90;7647;5256;12903;5713;5703;11416;13360;10959;24319;3.37;64449;28967;93416;148562;39654;188216;213011;68621;281632;39.03;330813;176738;507551;164275;49780;214055;495088;226518;721606;43.91;72096;34223;106319;154275;45357;199632;226371;79580;305951;42.40
6;Kolara;3979;386;227058;106290;333348;2.50;17;366066;1536401.0;776396;760005;2.51;19;1705436;860842;844594;2.37;19;535431;520897;1056328;240965;239108;480073;1536401;10.77;7.51;18.68;977;977;977;978;973;992;0.10;170423;116231;54192;157398;100699;56699;11.09;11.00;11.29;9.23;8.87;9.95;965;971;949;962;955;979;-0.31;164018;163406;327424;68528;69915;138443;465867;17.36;13.41;27.88;28.62;29.38;26.76;30.32;31.00;28.84;36448;35695;72143;3549;3183;6732;78875;15.77;12.51;67.75;4.91;6.53;0.99;5.13;6.83;1.40;203573;195444;399017;223775;219126;442901;497234;484011;981245;550174;538747;1088921;87718;85895;173613;87718;85895;173613;1553875;1705435;1536401;1552371;1568541;1584913;1601491.0;1618276.0;1635274;1652485;1669914;1687563.0;1705436.0;659513;645918;1305431;84.97;101867;98006;199873;13.01;12823;13899;26722;1.74;142;111;253;0.02;79;71;150;0.01;1296;1198;2494;0.16;44;48;92;632;754;1386;0.09;776396;760005;1536401;276268;155146;431414;117908;35268;153176;394176;190414;584590;81.43;47173;66507;113680;12699;6903;19602;59872;73410;133282;18.57;211990;299244;511234;110358;196937;307295;322348;496181;818529;53.28;117443;61454;178897;3306;854;4160;120749;62308;183057;25.50;91822;102043;193865;4503;2865;7368;96325;104908;201233;28.03;6040;6802;12842;5194;6142;11336;11234;12944;24178;3.37;108136;51354;159490;117604;32310;149914;225740;83664;309404;43.10;323441;221653;545094;130607;42171;172778;454048;263824;717872;46.72;114176;58156;172332;122798;38452;161250;236974;96608;333582;46.47
7;Chikkaballapura;4244;296;220987;63711;284698;2.13;21;309857;1255104.0;636437;618667;2.05;22;1379908;696740;683168;1.92;23;494463;479522;973985;141974;139145;281119;1255104;9.23;4.96;27.19;966;970;950;972;970;980;0.62;132286;100028;32258;118423;82071;36352;10.54;10.27;11.47;8.58;8.03;10.17;952;953;949;953;957;941;0.11;137654;135237;272891;19974;19700;39674;312565;13.77;10.36;44.45;23.91;26.65;12.43;24.90;28.02;14.11;70304;68897;139201;8852;8434;17286;156487;13.74;10.52;48.66;11.97;13.57;5.26;12.47;14.29;6.15;162207;153437;315644;182286;164746;347032;408071;397318;805389;453490;431984;885474;66159;67912;134071;71948;75454;147402;1255104;1379908;1255104;1266675;1278436;1290391;1302546.0;1314904.0;1327470;1340249;1353244;1366463.0;1379908.0;557943;542188;1100131;87.65;74905;72905;147810;11.78;2307;2377;4684;0.37;135;129;264;0.02;48;37;85;0.01;501;474;975;0.08;42;35;77;556;522;1078;0.09;636437;618667;1255104;269952;171011;440963;71383;23219;94602;341335;194230;535565;83.71;33949;54334;88283;9168;6762;15930;43117;61096;104213;16.29;190562;254177;444739;61423;109164;170587;251985;363341;615326;49.03;132902;74628;207530;3644;1052;4696;136546;75680;212226;33.17;91588;108208;199796;4000;3143;7143;95588;111351;206939;32.35;5496;5993;11489;5340;3447;8787;10836;9440;20276;3.17;73915;36516;110431;67567;22339;89906;141482;58855;200337;31.31;303901;225345;529246;80551;29981;110532;384452;255326;639778;50.97;79411;42509;121920;72907;25786;98693;152318;68295;220613;34.48
8;Shivamogga;8478;207;259456;147360;406816;3.05;11;431308;1752753.0;877415;875338;2.87;14;1875987;939105;936882;2.61;13;565821;563205;1129026;311594;312133;623727;1752753;6.71;5.37;9.23;978;983;967;998;995;1002;2.04;182751;119703;63048;160835;101529;59306;10.43;10.60;10.11;8.57;8.50;8.70;956;957;954;960;958;966;0.42;112674;112642;225316;40872;41970;82842;308158;14.34;12.84;18.60;16.41;18.63;12.23;17.58;19.96;13.28;25045;24918;49963;7662;7787;15449;65412;16.81;14.62;24.54;3.41;4.07;2.17;3.73;4.43;2.48;219389;210379;429768;230269;229723;459992;580380;576455;1156835;619811;618343;1238154;77646;88504;166150;89027;88817;177844;1752753;1875990;1752753;1765077;1777398;1789723;1802048.0;1814371.0;1826693;1839017;1851341;1863664.0;1875987.0;739776;739648;1479424;84.41;118832;115832;234664;13.39;12709;13812;26521;1.51;212;188;400;0.02;53;67;120;0.01;4646;4588;9234;0.53;186;181;367;1001;1022;2023;0.13;877415;875338;1752753;317081;132865;449946;163915;38928;202843;480996;171793;652789;83.63;38186;66219;104405;15305;8099;23404;53491;74318;127809;16.37;210554;364121;574675;132374;265106;397480;342928;629227;972155;55.46;151085;46050;197135;6662;696;7358;157747;46746;204493;26.20;118139;114687;232826;8579;5059;13638;126718;119746;246464;31.57;5367;3879;9246;3942;1899;5841;9309;5778;15087;1.93;80676;34468;115144;160037;39373;199410;240713;73841;314554;40.30;355267;199084;554351;179220;47027;226247;534487;246111;780598;44.54;86043;38347;124390;163979;41272;205251;250022;79619;329641;42.23
9;Tumakuru;10597;253;497521;142560;640081;4.79;4;663092;2678980.0;1350594;1328386;4.38;5;2790349;1393572;1396777;3.88;6;1048710;1031192;2079902;301884;297194;599078;2678980;3.65;0.12;18.11;967;975;938;984;983;984;1.76;265742;203685;62057;231339;167177;64162;9.92;9.79;10.36;8.29;8.03;9.06;949;950;946;959;959;959;1.05;215949;214008;429957;38586;38358;76944;506901;6.93;4.42;23.51;18.34;19.82;12.28;18.92;20.67;12.84;90558;89466;180024;14707;14828;29535;209559;8.12;5.94;23.63;7.50;8.18;4.71;7.82;8.66;4.93;322038;302189;624227;336006;315296;651302;872100;861818;1733918;909764;899037;1808801;156456;164379;320835;161045;169200;330245;2678980;2790348;2678980;2689299;2699790;2710461;2721305.0;2732338.0;2743555;2754962;2766560;2778356.0;2790349.0;1216905;1196907;2413812;90.10;123950;121973;245923;9.18;4392;4738;9130;0.34;274;203;477;0.02;110;77;187;0.01;2505;2562;5067;0.19;82;79;161;2376;1847;4223;0.16;1350594;1328386;2678980;584984;291534;876518;153140;48773;201913;738124;340307;1078431;79.61;80040;163641;243681;19348;13186;32534;99388;176827;276215;20.39;383686;576017;959703;129396;235235;364631;513082;811252;1324334;49.43;347297;149260;496557;7980;1373;9353;355277;150633;505910;37.35;137929;207142;345071;4144;3071;7215;142073;210213;352286;26.01;15610;21008;36618;7048;10857;17905;22658;31865;54523;4.02;164188;77765;241953;153316;46658;199974;317504;124423;441927;32.62;665024;455175;1120199;172488;61959;234447;837512;517134;1354646;50.57;179798;98773;278571;160364;57515;217879;340162;156288;496450;36.65
