1;2;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050;1051;1052;1053;1054;1055;1056;1057;1058;1059;1060;1061;1062;1063;1064;1065;1066;1067;1068;1069;1070;1071;1072;1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1083;1084;1085;1086;1087;1088;1089;1090;1091;1092;1093;1094;1095;1096;1097;1098;1099;1100;1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1118;1119;1120;1121;1122;1123;1124;1125;1126;1127;1128;1129;1130;1131;1132;1133;1134;1135;1136;1137;1138;1139;1140;1141;1142;1143;1144;1145;1146;1147;1148;1149;1150
1;Bengaluru(U);348826;254033;602859;3729215;3180202;6909417;4078041;3434235;7512276;84.54;70.92;78.21;91.66;85.27;88.61;91.01;84.01;87.67;2;1258;510927;467449;978376;4175;263312;246093;509405;2801;147541;141209;288750;1487781;26593;26490;53083;28;288750;26673;20403;47076;6;774239;713542;1487781;512;401;913;0.06;5433;4956;4956;4490;3207;1462;4597;4956;4348;2782;2801;2800;2800;2514;2160;536;2673;2800;2555;1967;705;2372;3980;8123;9921;5327;7099;45621;44576;59071;61596;23;11209;17132;28341;43;8850;14982;23832;8.62;3;329;764;1093;11;714;1777;2491;3;774;521;1295;11;2046;2642;4688;1;69;119;188;15;834;2233;3067;10;1145;739;1884;48;4709;1225;5934;3;406;237;643;84;18419;9488;27907
2;Bengaluru(R);275457;209175;484632;109854.0;94263;204117;385311;303438;688749;83.06;66.80;75.16;89.57;80.95;85.37;84.82;70.63;77.93;9;651;5436;5662;11098;527;24373;23937;48310;292;51725;45325;97050;59408;2105;1876;3981;15;97050;1853;1594;3447;28;66395;61116;127511;21;21;42;0.03;1178;1859;1979;1178;468;368;1120;1178;1047;240;292;1734;1953;292;238;76;282;292;256;237;68;282;230;1385;1806;702;669;2171;2596;4258;5071;7;2418;2937;5355;2;323;534;857;1.03;0;0;0;0;2;95;154;249;0;0;0;0;2;393;452;845;0;0;0;0;0;0;0;0;0;0;0;0;3;168;40;208;0;0;0;0;5;594;318;912
3;Ramanagara;275870;205441;481311;102591.0;90856;193447;378461;296297;674758;73.96;56.36;65.26;85.47;77.51;81.54;76.76;61.50;69.22;22;820;35660;33478;69138;692;22924;21730;44654;328;14296;13180;27476;113792;1535;1759;3294;35;27476;821;499;1320;21;58603;55216;113819;19;9;28;0.02;1512;1512;1512;1479;646;479;1360;1512;1317;390;328;328;328;309;284;71;314;328;305;207;82;261;99;3412;4539;2028;2135;2244;2538;7684;9212;12;3016;4724;7740;2;723;871;1594;1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;383;259;642;2;166;42;208;1;72;74;146;4;211;161;372
4;Chitradurga;474285;360134;834419;132903.0;120070;252973;607188;480204;1087392;79.19;61.91;70.68;90.22;81.55;85.89;81.37;65.88;73.71;16;861;65163;60707;125870;1165;39259;37620;76879;485;25007;22897;47904;202749;3259;2903;6162;33;47904;1736;587;2323;21;104438;98385;202823;143;100;243;0.12;2026;1636;1642;1642;1033;1642;1820;2026;1786;352;485;485;485;449;438;219;445;485;433;220;126;720;167;3464;4114;1963;2190;2205;2366;7632;8670;14;5536;6890;12426;10;1285;1415;2700;2.50;0;0;0;0;3;167;150;317;0;0;0;0;1;134;148;282;0;0;0;0;1;35;151;186;3;446;203;649;5;470;92;562;0;0;0;0;1;101;85;186
5;Davanagere;384798;304700;689498;232986.0;207253;440239;617784;511953;1129737;79.63;63.69;71.77;88.19;79.77;84.02;82.40;68.91;75.74;12;635;69593;63948;133541;1086;40158;38243;78401;477;25235;24028;49263;211942;5543;4412;9955;21;49263;3260;1253;4513;11;109848;102248;212096;76;48;124;0.06;1721;1698;1698;1530;813;519;1602;1699;1427;433;477;477;477;435;362;121;453;477;433;236;150;828;1003;7055;6807;5417;6951;6106;5250;18578;19008;10;4410;6370;10780;13;2119;3236;5355;2.67;0;0;0;0;2;37;104;141;0;0;0;0;2;184;180;364;0;0;0;0;2;164;404;568;2;579;434;1013;4;664;180;844;1;267;335;602;3;847;647;1494
6;Kolara;371785;277636;649421;192325.0;174473;366798;564110;452109;1016219;78.11;59.82;69.09;90.05;82.18;86.13;81.80;66.84;74.39;15;1267;59242;54799;114041;964;35582;33787;69369;368;21974;21035;43009;183410;2306;2858;5164;36;43009;930;603;1533;28;94830;88579;183409;58;49;107;0.06;2231;2226;2226;2128;655;1042;1494;2229;2229;446;368;401;401;401;301;321;305;401;401;401;124;804;323;4055;5310;713;1201;8553;8118;13321;14629;10;3024;4507;7531;34;3043;3082;6125;2.26;0;0;0;0;0;0;0;0;0;0;0;0;1;95;303;398;0;0;0;0;1;95;55;150;3;243;103;346;7;533;150;683;0;0;0;0;4;383;267;650
7;Chikkaballapura;334340;245891;580231;107818.0;95173;202991;442158;341064;783222;75.41;57.10;66.39;86.01;77.06;81.57;77.75;61.55;69.76;21;920;18154;20394;38548;515;11787;12878;24665;300;16932;16240;33172;63213;2343;1807;4150;15;33172;798;439;1237;27;73257;69222;142479;51;37;88;0.06;1435;1435;1435;1394;620;907;1130;1435;399;40;300;299;298;297;274;133;235;292;180;52;108;701;316;2627;3220;1627;1508;8229;8840;12483;13568;9;3338;5289;8627;2;317;566;883;1.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;344;121;465;2;467;94;561;0;0;0;0;2;489;298;787
8;Shivamogga;419590;351227;770817;255348.0;236851;492199;674938;588078;1263016;83.14;69.60;76.37;91.35;84.24;87.79;86.07;74.84;80.45;6;969;11992;11575;23567;1348;83841;78313;162154;487;39721;37192;76913;185721;3060;3334;6394;29;76913;1163;1073;2236;34;109738;102286;212024;57;35;92;0.04;2317;2317;2317;2317;2084;1040;1852;2317;2317;806;487;487;487;487;361;236;288;487;487;487;133;829;420;7706;11024;2735;3872;4845;5575;15286;20471;16;5565;10017;15582;9;1964;3149;5113;3.42;1;55;65;120;2;190;167;357;1;372;157;529;1;292;277;569;0;0;0;0;2;172;364;536;4;324;480;804;6;747;140;887;0;0;0;0;2;503;475;978
9;Tumakuru;760322;584116;1344438;245702.0;223251;468953;1006024;807367;1813391;80.48;62.71;71.66;90.23;83.67;87.32;82.81;67.38;75.14;13;2076;92275;85556;177831;1748;61076;54388;115464;770;40491;34403;74894;293295;6450;6738;13188;22;74894;3676;2647;6323;12;156574;145724;302298;52;37;89;0.03;3824;3824;3824;3742;1702;1372;3455;3824;3576;796;770;770;770;739;620;165;713;771;699;512;249;939;341;7442;12256;8133;6527;7605;7719;23180;26502;23;9107;13244;22351;46;5039;7665;12704;5.79;0;0;0;0;2;336;334;670;0;0;0;0;2;274;328;602;0;0;0;0;1;8;26;34;2;950;565;1515;9;3230;1030;4260;0;0;0;0;8;7347;5555;12902
