1;2;1409;1410;1411;1412;1413;1414;1415;1416;1417;1418;1419;1420;1421;1422;1423;1424;1425;1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;1437;1438;1439;1440;1441;1442;1443;1444;1445;1446;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477
1;Bengaluru(U);3267960;11.10;88.90;80.90;0.80;8.90;0.30;2393845;91.20;3.31;0.10;0.08;0.31;2393845;62.02;0.74;0.75;29.65;0.02;0.00;0.10;1.82;2393845;26.21;14.55;50.79;0.15;1.72;0.11;0.67;53;3;41;394;491;202;19;221;30;4;34;232;23;255;19;2;2;4;27;758;253;253;1258;2522;6;0;0;0;6;0;0;0;0;0;0;0;6;22;28
2;Bengaluru(R);326462;12.20;87.80;75.50;2.80;7.10;1.00;229279;95.33;4.17;0.08;0.15;0.23;229279;66.84;0.48;0.76;28.01;0.03;0.00;0.00;3.58;229279;54.13;8.86;34.46;0.15;1.16;0.03;0.38;53;14;63;683;813;296;53;349;60;17;77;356;70;426;50;17;1;14;82;0;0;0;0;0;20;5;0;111;136;0;0;0;1;1;7;1;18;112;138
3;Ramanagara;351784;9.60;90.40;76.80;4.70;5.40;1.00;260533;91.98;7.35;0.17;0.16;0.33;260533;80.98;0.71;1.61;16.00;0.02;0.02;0.08;0.57;260533;72.48;6.33;18.10;0.07;0.78;1.94;0.30;90;8;52;1424;1574;215;52;267;17;5;22;232;57;289;55;5;8;69;137;189;63;63;313;628;7;1;0;40;48;0;0;0;0;0;13;0;28;98;139
4;Chitradurga;447348;7.90;92.10;83.50;2.30;3.90;1.20;357003;86.78;11.72;0.54;0.04;0.73;357003;65.56;1.49;6.63;25.10;0.30;0.13;0.08;0.68;357003;77.18;1.90;17.09;0.05;0.49;0.04;0.25;216;123;94;1471;1904;713;33;746;602;30;632;1315;63;1378;420;394;43;228;1085;11;3;3;21;38;48;0;0;157;205;0;0;0;0;0;15;14;9;49;87
5;Davanagere;530691;8.30;91.74;74.07;2.20;4.41;0.84;351615;91.73;7.44;0.16;0.13;0.41;351615;69.75;1.25;4.52;21.50;0.15;1.10;0.08;0.50;351615;61.53;1.78;28.26;0.08;1.27;0.09;0.34;206;70;101;1299;1676;454;39;493;296;23;319;750;62;812;97;64;14;59;234;281;94;94;464;933;20;2;1;41;64;0;0;0;6;6;6;4;38;122;170
6;Kolara;477609;11.70;88.30;76.40;1.90;6.80;1.30;333348;93.30;5.79;0.15;0.19;0.34;333348;63.02;1.59;0.80;27.45;0.76;0.02;0.01;3.15;333348;68.45;6.98;21.87;0.13;0.64;0.03;0.27;155;32;144;1852;2183;473;17;490;82;2;84;555;19;574;263;54;23;46;386;0;0;0;1;1;7;0;0;8;15;0;0;0;0;0;3;0;56;76;135
7;Chikkaballapura;409702;10.40;89.60;74.60;2.10;6.10;1.20;284698;91.15;8.02;0.12;0.22;0.50;284698;71.46;1.38;1.08;23.95;0.17;0.07;0.22;1.52;284698;73.92;4.58;18.05;0.13;1.33;0.27;0.28;143;48;79;943;1213;469;56;525;295;29;324;764;85;849;238;118;30;38;424;98;32;32;165;327;15;1;2;40;58;0;0;0;0;0;4;2;81;70;157
8;Shivamogga;554106;7.70;92.30;76.70;1.50;5.50;1.10;406816;90.47;8.78;0.18;0.05;0.32;406816;65.34;20.80;1.68;9.10;1.46;0.69;1.33;0.87;406816;59.41;4.08;31.86;0.25;2.04;0.06;0.27;179;31;168;1433;1811;227;39;266;51;5;56;278;44;322;60;10;24;53;147;58;19;19;100;196;2;0;0;1;3;0;0;0;0;0;3;1;52;147;203
9;Tumakuru;890242;10.00;90.00;76.30;3.00;4.90;1.20;640081;88.43;10.78;0.11;0.06;0.43;640081;66.87;1.73;6.31;23.90;0.09;0.05;0.04;1.08;640081;75.59;3.36;18.36;0.06;0.64;0.02;0.26;234;55;191;4805;5285;896;96;992;453;16;469;1349;112;1461;400;178;41;216;835;114;38;38;190;380;74;7;0;102;183;4;0;0;1;5;4;0;68;151;223
10;Chikkamagaluru;392426;11.50;88.50;75.90;2.30;4.60;1.20;276085;79.93;10.29;0.37;0.28;0.42;276085;61.79;8.93;3.55;11.57;2.10;3.00;2.08;0.79;276085;61.97;1.76;24.79;0.05;0.97;1.44;0.31;102;9;52;873;1036;213;23;236;49;3;52;262;26;288;34;7;5;10;56;87;28;28;144;287;4;0;0;7;11;2;0;0;18;20;1;1;14;57;73
11;Dakshina Kannada;650292;9.70;90.30;64.60;7.70;8.50;1.00;439733;90.93;8.32;0.41;0.07;0.18;439733;43.92;42.98;0.73;8.23;3.26;0.86;0.94;1.42;439733;55.33;1.53;41.54;0.04;0.76;0.56;0.22;79;28;310;1112;1529;81;17;98;41;13;54;122;30;152;9;6;9;4;28;10;3;3;16;32;0;0;0;2;2;0;0;0;0;0;4;0;47;96;147
12;Udupi;385389;8.90;91.10;68.80;1.00;7.60;0.90;253078;90.97;8.32;0.40;0.02;0.18;253078;18.60;73.51;1.17;4.05;0.85;0.48;0.19;1.17;253078;64.80;0.45;32.70;0.19;0.92;0.02;0.48;34;10;55;698;797;21;5;26;27;4;31;48;9;57;4;2;1;8;15;12;4;4;20;40;3;0;0;35;38;0;0;0;0;0;2;1;18;88;109
13;Hassan;628981;10.50;89.50;70.10;6.00;4.70;1.30;433453;93.35;6.14;0.10;0.02;0.31;433453;63.44;2.85;8.63;24.06;0.30;0.41;0.21;0.44;433453;71.57;3.73;21.13;0.02;1.57;0.05;0.20;280;21;111;2571;2983;640;36;676;56;2;58;696;38;734;92;6;8;46;152;63;22;22;104;211;15;1;0;33;49;0;0;0;0;0;1;0;20;52;73
14;Kodagu;212974;13.20;86.80;73.50;1.00;6.00;0.90;142716;82.36;15.91;0.81;0.13;0.61;142716;48.11;33.41;2.45;9.76;2.07;2.40;1.90;0.80;142716;67.69;0.85;29.60;0.00;0.65;0.0;0.24;25;8;50;420;503;56;13;69;13;0;13;69;13;82;7;11;6;7;31;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;4;10;15
15;Mandya;562302;8.30;91.70;74.90;7.40;5.20;1.00;428625;91.67;7.84;0.12;0.02;0.26;428625;77.55;1.94;6.09;13.65;0.03;0.20;0.10;0.47;428625;74.45;3.91;18.85;0.07;0.62;0.03;0.18;115;15;49;2686;2865;320;26;346;38;1;39;358;27;385;47;4;5;34;90;1;0;0;2;3;12;0;0;74;86;0;0;0;0;0;6;1;17;53;77
