Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id
24;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Urban,Ration shops;End poverty in all its forms everywhere;1
25;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Rural,Ration shops;End poverty in all its forms everywhere;1
26;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Total,Ration shops;End poverty in all its forms everywhere;1
27;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Urban,Anthyodaya,Ration card holders;End poverty in all its forms everywhere;1
28;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Rural,Anthyodaya,Ration card holders;End poverty in all its forms everywhere;1
29;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Total,Anthyodaya,Ration card holders;End poverty in all its forms everywhere;1
30;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Urban,Priority;End poverty in all its forms everywhere;1
31;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Rural,Priority;End poverty in all its forms everywhere;1
32;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Total,Priority;End poverty in all its forms everywhere;1
33;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Urban,Non Priority;End poverty in all its forms everywhere;1
1376;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Ddu-gky,Nrlm National Rural Livelihood Mission;End poverty in all its forms everywhere;1
1377;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Cif Community Investment Fund to groups,Nrlm National Rural Livelihood Mission;End poverty in all its forms everywhere;1
1378;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Employment through skill training placement Estp,Employment through Skill Training Placement Estp;End poverty in all its forms everywhere;1
1379;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Persons Skilled,Self Employment Programme,Employment through Skill Training Placement Estp;End poverty in all its forms everywhere;1
1380;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Groups Skilled,Self Employment Programme,Employment through Skill Training Placement Estp;End poverty in all its forms everywhere;1
1381;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Chief Minister Kaushalya Karnataka Yojane Cmkky,Ksdc Karnataka Skill Development Corporation;End poverty in all its forms everywhere;1
1382;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Women Groups,Ksdc Karnataka Skill Development Corporation;End poverty in all its forms everywhere;1
1526;17;Other Information;17.2;Number of Pensioners under Social Security Schemes on 31-3-2020;Bank Post Office Account Holders,Indira Gandhi National Old Age Pension Scheme;End poverty in all its forms everywhere;1
1529;17;Other Information;17.2;Number of Pensioners under Social Security Schemes on 31-3-2020;Bank Post Office Account Holders,Indra Gandhi National Widow Pension Scheme;End poverty in all its forms everywhere;1
1534;17;Other Information;17.2;Number of Pensioners under Social Security Schemes on 31-3-2020;Bank Post Office Account Holders,Indira Gandhi National Disabled Pension Scheme;End poverty in all its forms everywhere;1
1537;17;Other Information;17.2;Number of Pensioners under Social Security Schemes on 31-3-2020;Bank Post Office Account Holders,Sandhya Suraksha;End poverty in all its forms everywhere;1
1539;17;Other Information;17.2;Number of Pensioners under Social Security Schemes on 31-3-2020;Bank Post Office Account Holders,Mythri Pension Scheme;End poverty in all its forms everywhere;1
1541;17;Other Information;17.2;Number of Pensioners under Social Security Schemes on 31-3-2020;Bank Post Office Account Holders,Manaswini Pension Scheme;End poverty in all its forms everywhere;1
1543;17;Other Information;17.2;Number of Pensioners under Social Security Schemes on 31-3-2020;Bank Post Office Account Holders,Farmers widow Pension Scheme;End poverty in all its forms everywhere;1
34;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Rural,Non Priority;End poverty in all its forms everywhere;1
35;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Total,Non Priority;End poverty in all its forms everywhere;1
36;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Urban,Total Card Hold;End poverty in all its forms everywhere;1
37;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Rural,Total Card Hold;End poverty in all its forms everywhere;1
38;1;General Information;1.6;Priority Non Priority and Total Ration Card Holders on 31-3-2017 Cumulative;Total,Total Card Hold;End poverty in all its forms everywhere;1
39;1;General Information;1.7;Anthyodaya Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Urban,with cylinder;End poverty in all its forms everywhere;1
40;1;General Information;1.7;Anthyodaya Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Rural,with cylinder;End poverty in all its forms everywhere;1
41;1;General Information;1.7;Anthyodaya Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Total,with cylinder;End poverty in all its forms everywhere;1
42;1;General Information;1.7;Anthyodaya Card Holders with and without gas cylinder on 31-3-2020 Cumulative;% to State total,with cylinder;End poverty in all its forms everywhere;1
43;1;General Information;1.7;Anthyodaya Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Urban,without cylinder;End poverty in all its forms everywhere;1
44;1;General Information;1.7;Anthyodaya Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Rural,without cylinder;End poverty in all its forms everywhere;1
45;1;General Information;1.7;Anthyodaya Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Total,without cylinder;End poverty in all its forms everywhere;1
46;1;General Information;1.7;Anthyodaya Card Holders with and without gas cylinder on 31-3-2020 Cumulative;% to State total,without cylinder;End poverty in all its forms everywhere;1
47;1;General Information;1.8;Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Urban,with cylinder;End poverty in all its forms everywhere;1
48;1;General Information;1.8;Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Rural,with cylinder;End poverty in all its forms everywhere;1
49;1;General Information;1.8;Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Total,with cylinder;End poverty in all its forms everywhere;1
50;1;General Information;1.8;Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;% to State total,with cylinder;End poverty in all its forms everywhere;1
51;1;General Information;1.8;Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Urban,without cylinder;End poverty in all its forms everywhere;1
52;1;General Information;1.8;Priority Card Holders with and without gas cylinder on 31-3-2020 Cumulative;Rural,without cylinder;End poverty in all its forms everywhere;1
