Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id;top_n_similarities
24;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Urban,Ration shops, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
25;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Rural,Ration shops, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
26;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Total,Ration shops, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
27;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Urban,Anthyodaya,Ration card holders, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
28;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Rural,Anthyodaya,Ration card holders, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
29;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Total,Anthyodaya,Ration card holders, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
30;1;General Information;1.6;Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Urban,Priority, Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
31;1;General Information;1.6;Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Rural,Priority, Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
32;1;General Information;1.6;Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Total,Priority, Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
33;1;General Information;1.6;Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Urban,Non Priority, Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
34;1;General Information;1.6;Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Rural,Non Priority, Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
35;1;General Information;1.6;Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Total,Non Priority, Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
36;1;General Information;1.6;Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Urban,Total Card Hold, Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
37;1;General Information;1.6;Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Rural,Total Card Hold, Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
38;1;General Information;1.6;Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Total,Total Card Hold, Priority Non Priority and Total Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1;1
39;1;General Information;1.7;Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative;Urban,with cylinder, Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative, General Information;End poverty in all its forms everywhere;1;1
40;1;General Information;1.7;Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative;Rural,with cylinder, Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative, General Information;End poverty in all its forms everywhere;1;1
41;1;General Information;1.7;Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative;Total,with cylinder, Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative, General Information;End poverty in all its forms everywhere;1;1
42;1;General Information;1.7;Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative;% to State total,with cylinder, Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative, General Information;End poverty in all its forms everywhere;1;1
43;1;General Information;1.7;Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative;Urban,without cylinder, Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative, General Information;End poverty in all its forms everywhere;1;1
44;1;General Information;1.7;Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative;Rural,without cylinder, Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative, General Information;End poverty in all its forms everywhere;1;1
45;1;General Information;1.7;Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative;Total,without cylinder, Anthyodaya Card (Below poverty line / Above poverty line)s with and without gas cylinder on 31-3-2020 Cumulative, General Information;End poverty in all its forms everywhere;1;1
