Indicator_id;Chap_count;Tab_count;Filter_count;Rank_count
6.7.1;840;882;475;928
14.4.1;734;748;373;756
11.6.1;719;771;449;823
14.6.1;611;670;355;697
14.11.1;584;614;282;640
3.10.1;560;628;498;651
14.1.1;559;559;279;560
14.3.1;559;559;279;560
8.3.1;527;546;223;561
2.6.1;492;617;259;650
2.3.1;484;619;309;641
1.4.1;423;700;470;719
11.2.1;412;452;317;471
11.6.2;395;508;116;564
1.3.1;393;662;379;708
5.6.2;381;429;309;540
15.1.2;374;408;108;428
4.5.1;367;658;421;707
12.5.1;361;391;376;401
3.11.1;355;388;254;395
4.8.1;354;413;283;436
15.2.2;354;402;250;483
15.1.1;350;411;407;428
2.4.1;337;636;501;657
15.6.2;336;367;226;393
4.7.1;335;391;260;487
15.7.1;331;396;261;462
1.1.1;327;587;357;609
2.5.2;327;408;204;427
3.9.1;324;363;238;458
1.2.2;321;597;132;648
11.8.1;317;358;227;402
3.3.3;314;420;162;515
3.2.2;314;331;124;375
9.8.1;314;696;421;720
3.7.2;314;681;401;698
6.2.1;314;388;257;492
6.1.1;314;361;240;381
15.2.3;313;450;174;523
11.1.1;310;354;223;385
2.1.1;310;531;384;545
11.3.1;309;559;330;576
11.7.1;308;653;374;689
10.3.1;304;402;262;435
5.7.1;304;527;296;604
1.2.1;300;519;379;521
11.5.1;294;630;359;677
9.1.1;294;294;173;406
1.5.1;294;630;359;677
13.1.1;294;630;359;677
3.5.1;292;339;339;346
14.10.1;292;330;330;361
3.10.2;288;308;212;326
2.4.3;288;288;51;301
15.3.2;286;565;287;615
4.6.1;285;300;300;391
3.3.4;285;323;82;349
4.3.1;285;409;256;432
12.6.1;282;346;346;419
15.5.1;282;331;331;459
3.3.1;280;280;280;298
17.1.1;279;293;293;349
8.5.2;276;370;196;463
3.2.1;276;286;220;332
15.9.2;273;293;211;327
4.9.1;272;309;309;337
10.1.1;271;271;271;366
16.4.1;270;325;325;348
2.4.2;269;599;141;615
10.2.1;264;288;288;372
16.2.1;258;357;263;376
2.1.2;257;558;118;585
4.10.1;255;277;277;407
12.1.1;250;598;454;618
9.5.2;246;338;206;369
15.1.3;246;573;182;631
8.6.1;245;309;309;311
2.8.1;239;533;333;550
8.8.1;232;283;234;295
3.1.2;229;342;222;349
14.8.1;226;233;233;239
2.5.1;217;294;284;344
11.4.1;216;223;223;264
12.3.1;208;287;259;329
15.2.1;206;308;286;325
12.7.1;196;196;196;253
8.5.1;190;264;230;420
4.2.2;187;247;132;288
8.4.1;177;177;177;186
8.11.1;176;245;245;259
10.4.1;170;177;177;183
6.6.1;170;520;355;546
14.9.1;169;427;303;462
5.9.1;168;270;270;440
14.12.1;163;283;283;318
14.7.2;163;283;231;318
17.2.1;160;259;259;287
8.8.2;160;269;161;313
5.5.2;159;201;83;244
4.4.1;155;203;203;203
8.9.1;151;229;229;246
2.7.1;147;482;321;490
7.1.1;145;185;185;204
15.4.2;143;181;181;256
9.7.1;142;160;160;237
2.2.1;141;251;241;335
9.3.2;139;389;280;398
12.9.1;135;242;242;261
3.4.1;130;130;130;152
3.12.1;129;139;139;156
9.4.1;128;128;128;145
14.7.1;127;159;159;193
7.5.1;126;190;190;199
6.8.1;124;161;161;189
5.4.1;123;131;131;151
13.2.1;122;213;213;261
12.2.1;119;237;237;267
5.8.1;119;223;223;318
8.10.2;117;148;148;217
5.3.1;116;186;186;323
3.7.1;115;134;118;142
3.8.1;115;414;299;458
6.5.1;111;197;197;233
1.6.1;111;367;268;388
12.4.1;109;205;205;227
3.6.1;108;282;220;419
5.6.1;108;179;164;315
4.2.1;108;161;148;259
9.3.1;103;103;101;145
5.2.1;102;194;194;231
11.10.1;96;112;112;125
8.7.1;95;95;95;102
9.2.2;93;93;93;101
16.1.1;91;102;102;126
8.2.1;91;161;161;186
14.2.2;87;123;123;148
2.3.2;87;87;14;88
15.3.1;85;211;193;342
4.1.1;84;150;150;245
15.6.1;84;189;140;252
11.3.2;84;123;113;215
8.1.1;84;162;162;185
7.3.1;82;216;216;225
3.8.2;81;105;100;127
3.6.2;81;81;54;217
5.5.1;79;320;245;355
15.9.1;78;97;78;122
7.1.2;77;115;115;139
7.2.1;75;75;75;85
13.3.1;75;77;77;143
11.9.1;74;91;91;115
6.3.1;74;83;83;101
6.3.2;72;93;93;201
15.8.1;71;243;243;266
9.6.1;68;165;165;172
6.4.2;68;68;68;98
14.2.1;68;117;117;180
5.1.1;68;185;185;301
2.2.2;68;165;103;246
9.5.1;68;112;102;132
7.4.1;67;101;101;173
3.1.1;63;108;108;196
5.3.2;62;62;62;260
12.3.2;60;84;57;108
3.3.2;58;58;58;63
9.1.2;51;66;64;131
11.7.2;51;76;62;226
15.4.1;50;102;102;146
12.8.1;46;96;96;172
14.4.2;46;59;50;133
8.10.1;44;109;109;131
16.3.1;43;43;43;57
16.5.1;43;51;51;58
5.2.2;40;101;101;373
3.4.2;35;105;105;123
2.8.2;34;61;59;89
17.2.2;30;30;30;40
14.5.1;25;31;31;56
6.4.1;22;89;89;105
