Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description
3;1;General Information;1.1;Nada Offices Village Accountant Circles Hoblies Grama Panchayaths Taluks on 31-03-2016;Nada Offices
4;1;General Information;1.1;Nada Offices Village Accountant Circles Hoblies Grama Panchayaths Taluks on 31-03-2016;Circles
5;1;General Information;1.1;Nada Offices Village Accountant Circles Hoblies Grama Panchayaths Taluks on 31-03-2016;Hoblies
6;1;General Information;1.1;Nada Offices Village Accountant Circles Hoblies Grama Panchayaths Taluks on 31-03-2016;Grama Panchayaths
7;1;General Information;1.1;Nada Offices Village Accountant Circles Hoblies Grama Panchayaths Taluks on 31-03-2016;No.of Taluks
8;1;General Information;1.2;No.of Taluks Inhabited Un-inhabited and Total Villages Nos. per 2011 Census;Cities Towns Urban
9;1;General Information;1.2;No.of Taluks Inhabited Un-inhabited and Total Villages Nos. per 2011 Census;Inhabited,Villages
10;1;General Information;1.2;No.of Taluks Inhabited Un-inhabited and Total Villages Nos. per 2011 Census;Un-inhabited,Villages
11;1;General Information;1.2;No.of Taluks Inhabited Un-inhabited and Total Villages Nos. per 2011 Census;Total Villages
12;1;General Information;1.3;Urban Local Bodies on 31-03-2016 In Nos;Cc,Local Bodies
13;1;General Information;1.3;Urban Local Bodies on 31-03-2016 In Nos;Cmc,Local Bodies
14;1;General Information;1.3;Urban Local Bodies on 31-03-2016 In Nos;Tmc,Local Bodies
15;1;General Information;1.3;Urban Local Bodies on 31-03-2016 In Nos;Local Bodies
16;1;General Information;1.3;Urban Local Bodies on 31-03-2016 In Nos;NACs,Local Bodies
17;1;General Information;1.3;Urban Local Bodies on 31-03-2016 In Nos;Total,Local Bodies
18;1;General Information;1.4;Cinema Theatres Police Station Prisons and Prisoners on 31-03-2016 In Nos;Permanent,Cinema Theatres
19;1;General Information;1.4;Cinema Theatres Police Station Prisons and Prisoners on 31-03-2016 In Nos;Temporary,Cinema Theatres
20;1;General Information;1.4;Cinema Theatres Police Station Prisons and Prisoners on 31-03-2016 In Nos;Police Stations
21;1;General Information;1.4;Cinema Theatres Police Station Prisons and Prisoners on 31-03-2016 In Nos;Prisons,Prisons and Prisoners 31-03-2016
22;1;General Information;1.4;Cinema Theatres Police Station Prisons and Prisoners on 31-03-2016 In Nos;Male,Prisoner,Prisons and Prisoners 31-03-2016
23;1;General Information;1.4;Cinema Theatres Police Station Prisons and Prisoners on 31-03-2016 In Nos;Female,Prisoner,Prisons and Prisoners 31-03-2016
24;1;General Information;1.5;No.of Fire Stations on 31-03-2016 In Nos;Fire Brigade Stations
25;1;General Information;1.5;No.of Fire Stations on 31-03-2016 In Nos;Working Fire Brigade Water Tankers
26;1;General Information;1.5;No.of Fire Stations on 31-03-2016 In Nos;Emergencyfirecall received
27;1;General Information;1.5;No.of Fire Stations on 31-03-2016 In Nos;Value of the property protected
28;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Urban,Ration shops
29;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Rural,Ration shops
30;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Total,Ration shops
31;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Urban,Anthyodaya,Bpl Card Holders
32;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Rural,Anthyodaya,Bpl Card Holders
33;1;General Information;1.6;Ration Shops And B.p.l. Ration Card Holders on 31-03-2016 In Nos;Total,Anthyodaya,Bpl Card Holders
34;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Urban,Akshaya with cylinder,Bpl Card Holders
35;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Rural,Akshaya with cylinder,Bpl Card Holders
36;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Total,Akshaya with cylinder,Bpl Card Holders
37;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Urban,Akshaya without cylinder,Bpl Card Holders
38;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Rural,Akshaya without cylinder,Bpl Card Holders
39;1;General Information;1.7;Bpl Priority Card Holders on 31-03-2016 In Nos;Total,Akshaya without cylinder,Bpl Card Holders
40;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Urban,With Cylinder,Apl Card Holders
41;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Rural,With Cylinder,Apl Card Holders
42;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Total,With Cylinder,Apl Card Holders
43;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Urban,Without Cylinder,Apl Card Holders
44;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Rural,Without Cylinder,Apl Card Holders
45;1;General Information;1.8;No.of A.p.l. Non-Priority Card Holders on 31-03-2016 In Nos;Total,Without Cylinder,Apl Card Holders
46;1;General Information;1.9;Total Ration Card Holders Photo Card Holders on 31-03-2016 In Nos;Urban,Total Ration Card Holders
47;1;General Information;1.9;Total Ration Card Holders Photo Card Holders on 31-03-2016 In Nos;Rural,Total Ration Card Holders
48;1;General Information;1.9;Total Ration Card Holders Photo Card Holders on 31-03-2016 In Nos;Total,Total Ration Card Holders
49;1;General Information;1.9;Total Ration Card Holders Photo Card Holders on 31-03-2016 In Nos;Urban,Photo Card Holders
50;1;General Information;1.9;Total Ration Card Holders Photo Card Holders on 31-03-2016 In Nos;Rural,Photo Card Holders
51;1;General Information;1.9;Total Ration Card Holders Photo Card Holders on 31-03-2016 In Nos;Total,Photo Card Holders
52;1;General Information;1.10;District Income Of Karnataka;Gross District Domestic Product Gddp Rs. in Lakhs,At Current Prices 2013-14
53;1;General Information;1.10;District Income Of Karnataka;Net District Domestic Product Nddp Rs. in Lakhs,At Current Prices 2013-14
54;1;General Information;1.10;District Income Of Karnataka;Gross District Domestic Product Gddp Rs. in Lakhs,At Constant 2011-12 Prices
55;1;General Information;1.10;District Income Of Karnataka;Net District Domestic Product Nddp Rs. in Lakhs,At Constant 2011-12 Prices
